HCPCS_Cd,HCPCS_Desc,Brnd_Name,Gnrc_Name,Tot_Spndng_2020,Tot_Dsg_Unts_2020,Tot_Clms_2020,Tot_Benes_2020,Avg_Spndng_Per_Dsg_Unt_2020,Avg_Spndng_Per_Clm_2020,Avg_Spndng_Per_Bene_2020,Outlier_Flag_2020,Tot_Spndng_2021,Tot_Dsg_Unts_2021,Tot_Clms_2021,Tot_Benes_2021,Avg_Spndng_Per_Dsg_Unt_2021,Avg_Spndng_Per_Clm_2021,Avg_Spndng_Per_Bene_2021,Outlier_Flag_2021,Tot_Spndng_2022,Tot_Dsg_Unts_2022,Tot_Clms_2022,Tot_Benes_2022,Avg_Spndng_Per_Dsg_Unt_2022,Avg_Spndng_Per_Clm_2022,Avg_Spndng_Per_Bene_2022,Outlier_Flag_2022,Tot_Spndng_2023,Tot_Dsg_Unts_2023,Tot_Clms_2023,Tot_Benes_2023,Avg_Spndng_Per_Dsg_Unt_2023,Avg_Spndng_Per_Clm_2023,Avg_Spndng_Per_Bene_2023,Outlier_Flag_2023,Tot_Spndng_2024,Tot_Dsg_Unts_2024,Tot_Clms_2024,Tot_Benes_2024,Avg_Spndng_Per_Dsg_Unt_2024,Avg_Spndng_Per_Clm_2024,Avg_Spndng_Per_Bene_2024,Outlier_Flag_2024,Avg_DY24_ASP_Price,Chg_Avg_Spndng_Per_Dsg_Unt_23_24,CAGR_Avg_Spnd_Per_Dsg_Unt_20_24,spending_growth,is_new_drug
J9328,"Injection, temozolomide, 1 mg",Temodar (J9328),Temozolomide,1015270.9,118841.0,321.0,17.0,8.54310297,3162.837695,59721.81765,0.0,878178.09,94471.0,289.0,20.0,9.295742503,3038.678512,43908.9045,1.0,467103.77,45343.0,157.0,12.0,10.30156298,2975.183248,38925.31417,0.0,310591.85,30322.0,89.0,,10.24311886,3489.796067,,0.0,432699.18,42284.0,146,11.0,10.23316574,2963.693014,39336.28909,0,10.3995,-0.000971689,0.046161159,-13.503076863524804,False
J9330,"Injection, temsirolimus, 1 mg",Temsirolimus*,Temsirolimus*,4046048.43,100718.0,3342.0,328.0,40.17204899,1210.666795,12335.51351,0.0,2719370.98,77560.0,2727.0,241.0,35.06151341,997.2024129,11283.69701,0.0,1868055.49,57541.0,1995.0,183.0,32.46477277,936.3686667,10207.9535,0.0,1562399.13,48784.0,1678.0,155.0,32.02687623,931.107944,10079.99439,0.0,995414.12,33003.0,1164,96.0,30.1613223,855.1667698,10368.89708,0,30.704,-0.058249637,-0.069145937,-32.78946045635939,False
J9331,"Injection, sirolimus protein-bound particles, 1 mg",Fyarro,Sirolimus Protein-Bound,,,,,,,,,,,,,,,,,1762281.31,18326.0,113.0,17.0,96.16290025,15595.40982,103663.6065,0.0,8104505.38,77664.0,423.0,38.0,104.3534376,19159.58719,213276.4574,0.0,7674229.08,70343.0,378,34.0,109.0972674,20302.19333,225712.62,0,93.851,0.045459257,0.065131331,,True
J9332,"Injection, efgartigimod alfa-fcab, 2mg",Vyvgart,Efgartigimod Alfa-Fcab,,,,,,,,,,,,,,,,,84680123.61,2754878.0,4923.0,879.0,30.73824816,17200.91887,96336.88693,0.0,297337987.9,9552460.0,17378.0,1653.0,31.12684983,17110.02347,179877.7906,0.0,416589120.9,13239534.0,23690,1803.0,31.46554259,17585.01988,231053.3117,0,32.20975,0.010881048,0.011761283,,True
J9333,"Injection, rozanolixizumab-noli, 1 mg",Rystiggo,Rozanolixizumab-Noli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30652021.77,1374110.0,2104,191.0,22.30681806,14568.45141,160481.7894,0,22.82433333,,,,True
J9334,"Injection, efgartigimod alfa, 2 mg and hyaluronidase-qvfc",Vyvgart Hytrulo,Efgartigimod-Hyaluronidas-Qvfc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150829226.0,4654564.0,8659,902.0,32.4045874,17418.78115,167216.4368,0,33.14166667,,,,True
J9340,"Injection, thiotepa, 15 mg",Thiotepa,Thiotepa,86203.88,224.0,52.0,19.0,384.83875,1657.766923,4537.046316,0.0,221412.31,546.0,68.0,36.0,405.5170513,3256.063382,6150.341944,0.0,88754.36,299.0,115.0,25.0,296.8373244,771.7770435,3550.1744,0.0,169935.98,627.0,152.0,49.0,271.0302711,1117.999868,3468.081225,0.0,179521.07,802.0,147,52.0,223.8417332,1221.231769,3452.328269,0,228.96,-0.174107998,-0.126695765,156.84726719957382,False
J9345,"Injection, retifanlimab-dlwr, 1 mg",Zynyz,Retifanlimab-Dlwr,,,,,,,,,,,,,,,,,,,,,,,,,229465.36,8000.0,16.0,,28.68317,14341.585,,1.0,1041751.13,36010.0,75,24.0,28.92949542,13890.01507,43406.29708,0,29.4735,0.008587803,0.008587803,,True
J9347,"Injection, tremelimumab-actl, 1 mg",Imjudo,Tremelimumab-Actl,,,,,,,,,,,,,,,,,,,,,,,,,19156122.12,143881.0,697.0,520.0,133.1386501,27483.67593,36838.69639,0.0,48504942.73,364710.0,1718,1259.0,132.9959221,28233.37761,38526.56293,0,135.7125,-0.001072026,-0.001072026,,True
J9349,"Injection, tafasitamab-cxix, 2 mg",Monjuvi,Tafasitamab-Cxix,,,,,,,,,32609272.19,2584966.0,4864.0,565.0,12.61497141,6704.208921,57715.526,0.0,47897376.83,3758752.0,7017.0,699.0,12.74289361,6825.905206,68522.71363,0.0,46746004.52,3593877.0,6728.0,632.0,13.00712421,6947.979269,73965.19703,0.0,43139722.86,3217593.0,5980,545.0,13.40745174,7214.000478,79155.45479,0,13.6645,0.030777559,0.020516405,,True
J9350,"Injection, mosunetuzumab-axgb, 1 mg",Lunsumio,Mosunetuzumab-Axgb,,,,,,,,,,,,,,,,,,,,,,,,,11542465.08,17547.0,588.0,119.0,657.8027629,19630.04265,96995.50487,0.0,25569691.56,41193.0,1350,210.0,620.7290452,18940.51227,121760.436,0,632.86,-0.05635993,-0.05635993,,True
J9351,"Injection, topotecan, 0.1 mg",Hycamtin (J9351)*,Topotecan HCL*,498725.58,460923.0,9353.0,866.0,1.082014957,53.32252539,575.8955889,0.0,388299.69,370715.0,7476.0,727.0,1.047434525,51.9394984,534.1123659,0.0,268167.72,272446.0,5613.0,554.0,0.984296778,47.77618386,484.0572563,0.0,216855.88,242114.0,4786.0,462.0,0.895676747,45.31046385,469.3850217,0.0,192745.79,179223.0,3667,358.0,1.075452314,52.56225525,538.3960615,0,1.12675,0.200714786,-0.001519762,-22.14161342997486,False
